type,no,id,ja,en,use,note,author
APP,,ac00000310,ログキー,Log key,J,,小島
APP,,ac00000320,処理対象,Processed,J,,小島
APP,,ac00000330,方向なし,No direction,J,,小島
APP,,ac00000340,バッチ起動,Batch start-up,J,,小島
APP,,ac00000350,<<前日,<< Previous day,J,,小島
APP,,ac00000360,翌日>>,Next day >>,J,,小島
APP,,ac00000370,乖離あり(理由あり),Divergence Yes (Reason entered),J,,小島
APP,,ac00000380,乖離あり(理由なし),Divergence Yes (Reason empty),J,,小島
APP,,ac00000390,乖離なし(理由あり),Divergence No (Reason entered),J,,小島
APP,,ac00000400,乖離なし(理由なし),Divergence No (Reason empty),J,,小島
APP,,ac00000410,乖離理由入力,Divergence reason input,J,,小島
APP,,ac00000420,理由入力済み,Reason entered,J,,小島
APP,,ac00000430,ログとの乖離があります。乖離理由を入力してください。,There is a divergence between the log. Enter the divergence reason.,B,,小島
APP,,ac00000440,ログなし,No log,J,,小島
APP,,ac00000450,入館 {0},Entry {0},J,,小島
APP,,ac00000460,退館 {0},Exit {0},J,,小島
APP,,ac00000470,乖離が発生しているため日次確定ができません。乖離理由を入力してください。,It will not be daily confirmed for the divergence has occurred. Enter the divergence reason.,B,,小島
APP,,ac00000480,乖離判定前のため日次確定できません。,It can not be daily confirmed for divergence judgement has not been performed.,B,,小島
APP,,ac00000490,ログとの乖離判定が行われていません。,Divergence judgement has not been done.,B,,小島
APP,,ac00000500,＊＊＊＊＊＊ 警告 ＊＊＊＊＊＊,****** Warning ******,J,,小島
APP,,ac00000510,続行する場合はOKをクリックしてください。,Please click OK to continue.,J,,小島
APP,,ac00000520,未判定,Undetermined,J,,小島
APP,,ac00000530,未判定(理由あり),Undetermined (Reason entered),J,,小島
APP,,ac00000540,乖離理由候補の1理由の文字数は255文字を超えないようにしてください。,Divergence 1 reason candidate within 255 characters.,J,,小島
APP,,ac00000550,入退館<br/>管理,Entry and exit log check,J,,小島
APP,,ac00000560,入退館<br/>管理ﾛｯｸ,Entry and exit log check Lock,J,,小島
APP,,ac00000570,入退館管理ロック,Entry and exit log check Lock,J,,小島
APP,,ac00000580,入退館管理フラグ,Entry and exit log check Lock Flag,B,,小島
APP,,ac00000590,入退館<br/>管理<br/>フラグ,Entry and exit log check Lock Flag,B,,小島
APP,,ac00000600,前日 {0},previous day {0},B,,小島
APP,,actor_head,実行者,Requested/Approved by,J,,
APP,,all_label,すべて,All,J,,
APP,,amountTime_label,過不足時間,Over/Under Working Hours,B,,
APP,,applicationDay_label,申請日：    ,Request Date:    ,J,,
APP,,apply_btn_title,申請,Request,J,,
APP,,apply_head,申請,Request,J,,
APP,,applyDaily_label,日次確定,Daily Confirmation,J,,
APP,,applyDailys_label,日次確定申請,Daily Confirmation Request,J,,
APP,,applyDate_head,発生日,Date Required,J,,
APP,,applyDate_label,申請日,Request Date Range,J,,
APP,,applyEarlyEnd_label,早退申請,Early Departure Request,J,,
APP,,applyEarlyWork_label,早朝勤務申請,Early Morning Work Request,J,,
APP,,applyExchange_label,振替申請,Substitute Holiday Request,J,,
APP,,applyHoliday_label,休暇申請,Leave Request,J,,
APP,,applyHolidayWork_label,休日出勤申請,Holiday Work Request,J,,
APP,,applyLateStart_label,遅刻申請,Late Start Request,J,,
APP,,applyList_btn_title,申請一覧,Request List,J,,
APP,,applyMenu_label,メニュー,Menu,J,,
APP,,applyPatternL_label,長期時間変更申請,Long-term Time Change Request,J,,
APP,,applyPatternS_label,勤務時間変更申請,Work Hour Change Request,J,,
APP,,applyReviseTime_label,勤怠時刻修正申請,Attendance Time Change Request,J,,
APP,,applyTime_label,申請日時,Request Date,B,,
APP,,applyx_btn_title,承認申請,Request Approval,J,,
APP,,applyZangyo_label,残業申請,Overtime Work Request,J,,
APP,,approvalHistory_label,承認履歴,Approval History,J,,
APP,,area_label,地域,Region,J,,
APP,,attachedReceipt,領収書添付済み,Receipt Attached,J,,
APP,,awayInput_label,公用外出,Away from workplace on business,J,,
APP,,awayInsert_label,公用外出時間入力行追加,Add New Out of Office on Business Line,J,,
APP,,baseTimeHelpHelp,年次有給休暇を時間単位で取得する場合は必須です（1時間単位であること）。<br/>所定労働時間を変更すると1時間単位に切り上げられた時間が自動入力されます。,"This setting is required when taking annual paid leave by hour (must be in hourly units).<br/>When the regular work hours are changed, the time rounded up to the hour is automatically entered.",J,,小島
APP,,baseTimeForStockHelpHelp,日数管理休暇を時間単位で取得する場合は必須です（30分単位であること）。<br/>所定労働時間を変更すると30分単位に切り上げられた時間が自動入力されます。,"This setting is required when taking administrative leave by hour (must be in units of 30 minutes).<br/>When the regular work hours are changed, the time rounded up to 30 minutes is automatically entered.",J,,小島
APP,,buttonCurrDate,今日のタイムレポートへ,Today's Time Report,J,,
APP,,buttonNextDate,翌日のタイムレポートへ,Tomorrow's Time Report,J,,
APP,,buttonPrevDate,前日のタイムレポートへ,Yesterday's Time Report,J,,
APP,,ca10000010,Salesforce,Salesforce,J,,新上
APP,,ca10000020,G Suite,G Suite,J,,新上
APP,,ca10000030,Office 365,Office 365,J,,新上
APP,,ca10000110,TeamSpirit Calendar Access 設定,TeamSpirit Calendar Access Settings,J,,新上
APP,,ca10000120,タイムレポートのスケジュールに表示するカレンダー,Service to show calendar events on Time Report,J,,新上
APP,,ca10000130,外部カレンダー用メールアドレス格納項目,Field Name of Email Address to login External Calendar Service,J,,新上
APP,,ca10000140,外部カレンダー認証,Authorization of External Calendar Service,J,,新上
APP,,ca10000145,認証を行う(別ウインドウが開きます),Authorize (A popup window will open),J,,新上
APP,,ca10000150,認証ステータス,Authorization Status,J,,新上
APP,,ca10000151,有効,Authorized,J,,新上
APP,,ca10000152,設定なし,No settings,J,,新上
APP,,ca10000153,未認証,Not authorized yet,J,,新上
APP,,ca10000154,外部カレンダー用メールアドレス格納項目が正しく設定されていません,The selected field is invalid as an email field,J,,新上
APP,,ca10000155,外部カレンダー用メールアドレス格納項目内にメールアドレスが入力されていません,Email address is empty in the selected field,J,,新上
APP,,ca10000156,リモートサイト設定が有効化されていません,Remote Site Settings are inactive,J,,新上
APP,,ca10000157,外部カレンダーへの接続に失敗しました,Connection to the calendar service has been failed,J,,新上
APP,,ca10000158,設定されているメールアドレスが外部カレンダー内で見つかりませんでした,The email address was not found in the calendar service,J,,新上
APP,,ca10000159,外部カレンダーへの認証ができませんでした,Authorization Failed,J,,新上
APP,,ca10000300,G Suiteの認証を開始します。\n認証を行う前に、あらかじめリモートサイトの設定(GSuiteAPI)が有効化されている必要があります。\n\n続行しますか？,It will let you make an authorization for G Suite.\nYou have to activate the Remote Site Setting (GSuiteAPI) before starting an authorization.\n\nWill you continue?,J,,新上
APP,,ca10001100,認証に成功しました。,Authorization has been succeeded.,C,,新上
APP,,ca10001101,このページを閉じた後、システム設定を保存してください。,Close this window and save the system settings.,C,,新上
APP,,ca10001110,認証エラーが発生しました。,An authorization error occurred.,C,,新上
APP,,ca10001111,このページを閉じ、認証を再度やり直してください。,Please close this window and try again.,C,,新上
APP,,ca10001115,エラーコード: ,Error Code: ,C,,新上
APP,,ca10001116,エラー詳細: ,Error Description: ,C,,新上
APP,,ca10001120,認証サーバからの応答の検証に失敗しました。,The reply from the authorization server was invalid.,C,,新上
APP,,ca10001121,認証に時間がかかりすぎた可能性があります。このページを閉じ、認証を再度やり直してください。,This error happens if it takes more than a certain minutes to complete an authorization. Please close this window and try again.,C,,新上
APP,,ca10001130,リモートサイト設定(GSuiteAPI)が有効化されていないため、認証手続きが完了しませんでした。,Authorization has been failed because the Remote Site Setting (GSuiteAPI) is inactive.,C,,新上
APP,,ca10001131,このページを閉じ、Salesforce設定からリモートサイト設定(GSuiteAPI)を有効化した後、認証を再度やり直してください。,Please activate the Remote Site Setting (GSuiteAPI) and try again.,C,,新上
APP,,ca10001140,権限がないため、認証を開始できません。,Authorization could not be started because of a permission error.,C,,新上
APP,,ca10001141,外部カレンダーへの認証は、システム管理者以外は行うことができません。実行ユーザのプロファイルおよび権限を確認してください。,Authorization must be executed by System Administrators. Please check your profile and permissions.,C,,新上
APP,,ca10002010,（Salesforce カレンダー）,(Salesforce Calendar),J,,新上sv
APP,,ca10002020,（Google カレンダー）,(Google Calendar),J,,新上
APP,,ca10002030,（Office 365 予定表）,(Office 365 Calendar),J,,新上
APP,,ca10002101,外部カレンダーへの認証が未設定です。システム管理者にお問合せください。,Authorization to the external calendar has not been completed. Please contact the system administrator.,J,,新上
APP,,ca10002102,外部カレンダー用メールアドレス格納項目が正しく設定されていません。システム管理者にお問合せください。,The email field for the external calendar is invalid. Please contact the system administrator.,J,,新上
APP,,ca10002103,外部カレンダー用メールアドレスが設定されていません。システム管理者にお問合せください。,Email address for the external calendar is empty. Please contact the system administrator.,J,,新上
APP,,ca10002104,リモートサイト設定が有効化されていないため、外部カレンダーに接続できません。システム管理者にお問合せください。,Could not connect to the external calendar because Remote Site Settings are not active. Please contact the system administrator.,J,,新上
APP,,ca10002105,外部カレンダーへの接続に失敗しました。しばらくお待ちいただいた後、再度お試しください。それでも解決しない場合、外部カレンダー用メールアドレスが正しく設定されているかご確認ください。エラーコード: {0}<br>想定される原因:<br>・外部カレンダーサービスが停止、混雑している<br>・外部カレンダー用メールアドレスが正しく設定されていない,"It has been failed to connect to the external calendar service. Please wait for a while and try again. If this error still occurs, Please confirm the email address for the external calendar is valid. Error code: {0}<br>This problem occurs mostly because:<br>* The external calendar service is now unavailable because of congestion or a temporary malfunction.<br>* The email address for the external calendar is invalid or unauthorized.",J,,新上
APP,,ca10002106,設定されている外部カレンダー用メールアドレスが、外部カレンダー側に登録されていません。システム管理者にお問合せください。,The email address was not found in the external calendar service. Please contact the system administrator.,J,,新上
APP,,ca10002107,外部カレンダーへの認証に失敗しました。システム管理者にお問合せください。,Authorization to the external calendar has been failed. Please contact the system administrator.,J,,新上
APP,,calendar_btn_title,日付選択,Select Date,C,,
APP,,cancel_btn_title,キャンセル,Cancel,J,,
APP,,cancelApply_btn_title,申請取消,Cancel Request ,J,,
APP,,cancelFix_btn_title,確定取消,Cancel Finalize,B,,
APP,,change_btn_title,変更,Change,J,,
APP,,changeDate_menu,日付変更,Change Date,J,,
APP,,chatter_Info_1,コメントをChatterへ投稿するとともに<br/><span style='color:red;font-weight:bold;'>退社打刻</span>をします。,"Enter comments in Chatterand<br/><span style=""color:red;font-weight:bold;"">stamp Departure Time</span>.",J,,
APP,,chatter_Info_2,コメントをChatterへ投稿するとともに<br/><span style='color:red;font-weight:bold;'>定時退社打刻</span>をします。,"Enter comments in Chatterand<br/><span style=""color:red;font-weight:bold;"">stamp Regular Departure Time</span>.",J,,
APP,,checkAdminHelp,全管理機能の使用権限、<br/>全社員のデータの編集権限を付与します,"Authorize the privileges for all administrative functions, <br/> permission to edit all employee data ",J,,
APP,,checkAllEditHelp,全社員のデータを編集する権限を付与します,Authorize the permission to edit all employee data.,J,,
APP,,checkAllRefHelp,全社員のデータを閲覧する権限を付与します,Authorize the permission to view all employee data.,J,,
APP,,checkExpAdminHelp,経費管理機能（経費精算の消込、経費精算の設定）、<br/>全社員の経費データの編集権限を付与します,"Authorize the privileges of expense management functions (setting/reconciliation of reimbursement), the <br/> permission to edit  expense data of all employees",J,,
APP,,checkJobAdminHelp,ジョブ管理機能（ジョブの編集、ジョブ管理の設定）の使用権限を付与します,"Authorize the privileges of job management functions (editing job, job management settings) ",J,,
APP,,checkDeptAdminHelp,部署確定機能の使用権限を付与します,Authorize the privileges for department creation function.,J,,
APP,,checkPermitHelp,特別な権限を付与する場合、設定してください。<br/><div style='margin-top:8px;float:left;'>※</div><div style='margin-top:8px;float:left;'>ユーザが「システム管理者」の場合はすべての<br/>権限を有しているため設定は不要です。</div><div style='clear:both;'></div>,Set up for authorizing special permissions. <br/><div style='margin-top:8px;float:left;'>*</div><div style='margin-top:8px;float:left;'>Settings not required when the user is system administrator <br/> who has all privileges </div><div style='clear:both;'></div>,J,,
APP,,checkTsCircleUserOptionHelp,TS Circle へのログインには別途お申し込みが必要です。<br/>TS Circle 利用ユーザの変更・追加をご希望の場合は、現在のTS Circle 利用ユーザより、<br/>TS Circle > お問い合わせ＞【新規お問い合わせ】＞TS Circle 利用ユーザ登録・変更からご連絡ください。,"A separate request is required to log in to TS Circle.<br/>If you wish to change or add a TS Circle User,<br/>please contact us from the current TS Circle User<br/>by selecting TS Circle> Inquiries> [New Inquiries]> TS Circle User Registration / Change.",J,,
APP,,ci00000010,CSV読込,CSV Import,J,,小島
APP,,ci00000020,読込,Read,J,,小島
APP,,ci00000030,インポート実行,Import,J,,小島
APP,,ci00000040,精算区分：{0},Payment Classification: {0},J,,小島
APP,,ci00000050,ファイル名：{0},File name: {0},J,,小島
APP,,ci00000060,データがありません。,There is no data.,J,,小島
APP,,ci00000070,下記のエラーがあります。,Error,J,,小島
APP,,ci00000080,インポート可能なデータはありません。,No importable data.,J,,小島
APP,,ci00000090,全データ件数：{0},All data number: {0},J,,小島
APP,,ci00000100,有効データ件数：{0},Valid data number: {0},J,,小島
APP,,ci00000110,エラー件数：{0},Error number: {0},J,,小島
APP,,ci00000120,呼び出し元と同期が取れません。この操作は無効です。,The opener and the synchronization is not taken. This operation is invalid.,J,,小島
APP,,ci00000130,インポートで例外が発生しました。,An exception occurred in the import.,J,,小島
APP,,ci00000140,インポートできません。\n呼び出し元が閉じられています。,You can not import.\nopener has been closed.,J,,小島
APP,,ci00000150,支払先コード,Payee Code,J,,小島
APP,,ci00000160,CSV読込実行中,CSV Import running,J,,小島
APP,,ci00000170,中止,Stop,J,,小島
APP,,ci00000180,明細数が上限（{0}）を超えるため、インポートできません。,"Because the expense list is size over, you can not import.",J,,小島
APP,,ci00000190,明細数が上限（{0}）に達しているため、CSV読込はできません。,"Because the expense list is full, you can not import.",J,,小島
APP,,ci00000200,精算区分選択,Select Payment Classification,J,,小島
APP,,ci00000210,（精算区分：{0}）,(Payment Classification: {0}),J,,小島
APP,,ci00000220,なし,None,J,,小島
APP,,ci00000230,デフォルトの備考に追加,Add to default Remarks,J,,小島
APP,,ci00000240,{0}の文字数が制限({1})を超えています。,The number of characters for {0} is over the limit.,J,,小島
APP,,ci00000250,費目,Item,J,,小島
APP,,ci00000260,科目,Account,J,,小島
APP,,ci00000270,補助科目,Sub-Account,J,,小島
APP,,ci00000280,名称,Name,J,,小島
APP,,ci00001010,{0}件目エラー：,{0} Error: ,B,,小島
APP,,ci00001020,{0}が入力されていません。,{0} is not entered.,J,,小島
APP,,ci00001030,{0}が不正です。,{0} is invalid.,J,,小島
APP,,ci00001040,{0}:'{1}'の該当はありません。,{0}:'{1}' does not exist.,J,,小島
APP,,ci00001050,{0}の値がサイズオーバーです。,{0} is too large.,J,,小島
APP,,ci00001060,{0}の値がマイナスです。,{0} is minus.,J,,小島
APP,,ci00001070,{0}、{1}、{2}の関係が正しくありません。,"{0},{1},{2} is not consistent.",J,,小島
APP,,ci00001080,{0}は固定の金額と一致しません。,{0} does not match the amount of fixed.,J,,小島
APP,,ci00001090,{0}:'{1}'の該当が複数存在します。,{0}:'{1}' There are multiple.,J,,小島
APP,,ci00001100,{0}:'{1}'は利用日と有効期間が整合しません。,{0}:'{1}' expiration date and use date are not consistent.,J,,小島
APP,,ci00001110,{0}:'{1}'と精算区分が整合しません。,{0}:'{1}' payment classification inconsistencies,J,,小島
APP,,ci00001120,{0}:'{1}'と社員または負担部署の費目表示区分が整合しません。,{0}:'{1}' expense account display categories inconsistencies.,J,,小島
APP,,ci00001130,{0}:'{1}'は無効です。,{0}:'{1}' is invalid.,J,,小島
APP,,ci00001140,{0}の値はインポートされません。,{0} is not imported.,J,,小島
APP,,ci00001150,{0}:'{1}'はジョブ割当制限のため、選択できません。,"{0}: '{1}' because of the job quota, it can not be selected.",J,,小島
APP,,ci00001160,{0}:'{1}'は費目の消費税率の設定と整合しません。,"{0}: '{1}' is not consistent with the consumption tax settings for expenses.",J,,小島
APP,,clearComment,入力欄クリア,Clear Entry,J,,
APP,,clearLabel,クリア,Clear,J,,
APP,,clone_btn_title,複製,Copy,J,,
APP,,close_btn_title,閉じる,Close,J,,
APP,,code_head,コード,Code,J,,
APP,,comment_head,コメント,Comments,J,,
APP,,commuterRoute_label,登録定期区間,Registered Commuter Pass Route,J,,
APP,,confAssistFormat_label,入力補助・表示形式,Auto-Suggest/Display Format,J,,
APP,,confGene_label,世代,Generation,J,,
APP,,confHoliday_label,休日,Holiday,J,,
APP,,confLegalTime_label,法定労働時間,Legal Work Hours,J,,
APP,,confStartDate_label,起算日・表記,Start Date/Format,J,,
APP,,confStartEnd_label,標準の勤務時間,Standard Work Hours,J,,
APP,,confStyle_label,労働時間制,Work Hour System,B,,
APP,,confWorkFlow_label,承認ワークフロー,Approval Process,J,,
APP,,contact_label,連絡先,Contact,J,,
APP,,core_label,コア,Core,J,,
APP,,coreTime_label,コア時間帯,Core Time,J,,
APP,,cunit_html,&#165;,&#165;,B,,
APP,,cunit_jps,円,Yen,J,,
APP,,cunit_text,\\,\\,B,,
APP,,currency_label,通貨名,Currency,B,,
APP,,currMonth_btn_title,今月,This Month,J,,
APP,,daiqDate_label,代休取得予定日,Scheduled Compensation Day,J,,
APP,,daiqDate1_label,代休取得予定日１,Scheduled Compensation Day 1,J,,
APP,,daiqDate2_label,代休取得予定日２,Scheduled Compensation Day 2,J,,
APP,,daiqReserve_label,代休取得予定,Compensation Day Schedule,J,,
APP,,date_head,日付,Date,B,,
APP,,dateTime_head,日時,Date,J,,
APP,,day_label,日,Day,J,,
APP,,dayApply_caption,勤怠関連申請,Attendance Related Request,J,,
APP,,days_label,日,Days,J,,
APP,,dayType_label,勤務日の設定,Working Day Settings,J,,
APP,,defaultInput_label,デフォルトの入力方式,Default Entry Method,J,,
APP,,delete_btn_title,削除,Delete,J,,
APP,,delete_menu,削除,Delete,J,,
APP,,dept_label,部署,Department,B,,
APP,,down_btn_title,下へ,Move down,J,,
APP,,duplicateEmpTypeCode,勤務体系コードが重複しています,Duplicate Employee type Code was found.,C,,
APP,,earlyWorkOkFixHelp,早朝勤務申請を必須とする時刻が設定されている場合はその設定の方が優先されます,"If the morning hours which requires early morning work requests entered, it would be preferred",J,,
APP,,ekitanHistory_caption,交通費経路履歴,Transportation Expenses Route History,J,,
APP,,ekitanResult_caption,交通費検索結果,Transportation Expense Search Results,J,,
APP,,ekitanSetting_btn_title,駅探設定,Ekitan Search Settings,J,,
APP,,ekitanSetting_caption,駅探設定,Ekitan Search Settings,J,,
APP,,em10000000,社員情報変更申請,Employee Information Change Request,J,,小島
APP,,em10000010,申請作成,Create Request,J,,小島
APP,,em10000020,変更申請,Change Request,J,,小島
APP,,em10000030,未承認一覧,Unapproved List,J,,小島
APP,,em10000040,TeamSpirit 人事マスター関連の設定をする,TeamSpirit Employee Master settings,J,,小島
APP,,em10000050,TeamSpirit 人事マスター設定,TeamSpirit Employee Master Configuration,J,,小島
APP,,em10000060,TeamSpirit 人事マスターを使用する,Use TeamSpirit Employee Master,J,,小島
APP,,em10000070,接続設定,Connection Setup,J,,小島
APP,,em10000080,接続済み,Connected,J,,小島
APP,,em10000090,接続画面表示,Connection screen display,J,,小島
APP,,em10000100,TeamSpirit 人事マスターにログインし、接続設定を行います。\n現在ログインしているTeamSpiritがログアウト状態となる可能性がありますため、\n未保存の入力画面がございましたら、保存してから押下して下さい。,"Log in to TeamSpirit Employee Master, make the connection settings. Because it might log out, if any unsaved data, please save.",J,,小島
APP,,em10000110,接続先ログインURL,Connection login URL,J,,小島
APP,,em10000120,通信失敗時の通知先メールアドレス,Notification e-mail address of the communication failure,J,,小島
APP,,em10000130,TeamSpirit 人事マスターに対して通信が失敗した場合、記載されたメールアドレスにエラーメッセージが送信されます。,"If the communication to TeamSpirit Employee Master fails, an error message will be sent to this email address.",J,,小島
APP,,em10000140,同期設定,Synchronization settings,J,,小島
APP,,em10000150,チェックした場合、TeamSpirit 社員マスタに登録されている組織を同期します。\nまたTeamSpiritの勤怠社員、部署の新規作成及び削除、一部項目の変更ができなくなります。,"If you check, to synchronize the organizations that have been registered in the TeamSpirit Employee Master For employees and departments, create, delete, change of some items you will not be able to in TeamSpirit.",J,,小島
APP,,em10000160,TeamSpirit 社員マスタと同期する,TeamSpirit Employee Master synchronization,J,,小島
APP,,em10000170,前回同期日付,The last synchronization date,J,,小島
APP,,em10000180,同期間隔,Synchronization interval,J,,小島
APP,,em10000190,前回同期日付から指定された時間経過した場合、組織の同期が行われます。,"If you have passed the last time it has been specified from the synchronization date time, synchronization of the organization is done.",J,,小島
APP,,em10000200,指定時間,The specified time,J,,小島
APP,,em10000210,間隔に「指定時間」を選択した場合、入力できます\n入力時間となった場合、組織の同期が行われます。,"If you select the ""specified time"" in the interval, you can enter. When it becomes the input time, synchronization of the organization is done.",J,,小島
APP,,em10000220,手動同期,Manual synchronization,J,,小島
APP,,em10000230,押下した場合、組織の同期が行われます。,"If you click, the synchronization of the organization is done.",J,,小島
APP,,em10000240,社員情報,Employee information,J,,小島
APP,,em10000250,Employee Information,Employee Information,J,,小島
APP,,em10000260,社員名（カナ）,Employee name (Kana),J,,小島
APP,,em10000270,社員名（書類記載名）,Employee name (document described name),J,,小島
APP,,em10000280,電話番号,Phone number,J,,小島
APP,,em10000290,内線番号,Extension number,J,,小島
APP,,em10000300,携帯番号,Mobile number,J,,小島
APP,,em10000310,メールアドレス,Email address,J,,小島
APP,,em10000320,個人情報,Personal information,J,,小島
APP,,em10000330,性別,Sex,J,,小島
APP,,em10000340,生年月日,Birthday,J,,小島
APP,,em10000350,電話番号（個人用）,Phone number (for individuals),J,,小島
APP,,em10000360,携帯番号（個人用）,Mobile number (for individuals),J,,小島
APP,,em10000370,メールアドレス（個人用）,Email address (for individuals),J,,小島
APP,,em10000380,緊急連絡先,Emergency contact,J,,小島
APP,,em10000390,障害等級,Degree of disability,J,,新上
APP,,em10000400,個人番号,Individual number,J,,小島
APP,,em10000410,住所情報,Address information,J,,小島
APP,,em10000420,郵便番号,Postal code,J,,小島
APP,,em10000430,都道府県,Prefectures,J,,小島
APP,,em10000440,市区郡,City,J,,小島
APP,,em10000450,町名・番地,Street,J,,小島
APP,,em10000460,都道府県（カナ）,Prefectures (Kana),J,,小島
APP,,em10000470,市区郡（カナ）,City (Kana),J,,小島
APP,,em10000480,町名・番地（カナ）,Street (Kana),J,,小島
APP,,em10000490,現住所と住民票住所が同一である,It is the same current address and resident card Address,J,,小島
APP,,em10000500,同一,Same,J,,小島
APP,,em10000510,異なる,Different,J,,小島
APP,,em10000520,郵便番号（住民票住所）,Postal code (resident card address),J,,小島
APP,,em10000530,都道府県（住民票住所）,Prefectures (resident card address),J,,小島
APP,,em10000540,市区郡（住民票住所）,City (resident card address),J,,小島
APP,,em10000550,町名・番地（住民票住所）,Street (resident card address),J,,小島
APP,,em10000560,外国籍情報,Foreign information,J,,小島
APP,,em10000570,国籍,Nationality,J,,小島
APP,,em10000580,在留期限,Stay deadline,J,,小島
APP,,em10000590,在留資格,Status of residence,J,,小島
APP,,em10000600,資格外活動許可の有無,Allow qualified outside activities,J,,小島
APP,,em10000610,有,Yes,J,,小島
APP,,em10000620,無,No,J,,小島
APP,,em10000630,資格外活動許可の内容,The contents of qualifications outside activities permitted,J,,小島
APP,,em10000640,扶養家族情報,Dependents information,J,,小島
APP,,em10000650,被扶養者名,Dependents name,J,,小島
APP,,em10000660,被扶養者名（カナ）,Dependents name (Kana),J,,小島
APP,,em10000670,続柄,Relationship,J,,小島
APP,,em10000680,その他続柄,Other Relationship,J,,小島
APP,,em10000690,職業,Occupation,J,,小島
APP,,em10000700,社員と同居中,Living together,J,,小島
APP,,em10000710,同居中,Yes,J,,小島
APP,,em10000720,同居していない,No,J,,小島
APP,,em10000730,国民年金３号対象,National pension No. 3 target,J,,小島
APP,,em10000740,障害等級,Degree of disability,J,,新上
APP,,em10000750,TeamSpirit 人事マスターを使用するにチェックを入れて、保存した後、設定できます。,"Put a check To use TeamSpirit Employee Master, after you save, you can set.",J,,小島
APP,,em10000760,社員情報と勤怠社員を同期するにチェックを入れて、保存した後、押下できます。,"Put a check to be synchronized with the employee information, after you have saved, you can click.",J,,小島
APP,,em10000770,未設定,Unset,J,,小島
APP,,em10000780,で接続中,In connection,J,,小島
APP,,em10000790,TeamSpirit 人事マスターの組織と同期します。\\nよろしいですか。,It will synchronize with TeamSpirit Employee Master organization.Is it OK?,J,,小島
APP,,em10000800,指定時間を入力して下さい,Please enter the specified time.,J,,小島
APP,,em10000810,登録に成功しました。\n使用するためにはリモートサイトの設定が必要です。,We have successfully registered. To use is necessary to set the remote site.,B,,小島
APP,,em10000820,変更対象者,Change the subject,J,,小島
APP,,em10000830,登録対象者,Registration subject,J,,小島
APP,,em10000840,住民票住所,Resident card Address,J,,小島
APP,,em10000850,連絡先,Contact,J,,小島
APP,,em10000860,個人用連絡先,Personal contacts,J,,小島
APP,,em10000870,番号確認用資料,Number confirmation document,J,,小島
APP,,em10000880,本人確認用資料,Identification document,J,,小島
APP,,em10000890,障害情報,Disability information,J,,小島
APP,,em10000900,変更する被扶養者,Dependents who want to change,J,,小島
APP,,em10000910,社員姓,Employees last name,J,,小島
APP,,em10000920,社員姓（カナ）,Employees last name (Kana),J,,小島
APP,,em10000930,社員姓（書類記載名）,Employees last name (document described name),J,,小島
